Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G07985	16	25	6	25	17	2
AT1G74035	0	0	0	0	0	0
AT1G15510	56	69	22	62	29	7
AT1G07040	559	494	206	792	371	77
AT1G71170	376	293	112	620	266	46
AT1G63470	91	81	14	107	64	8
AT1G13640	1017	1151	353	704	298	64
AT1G35516	712	873	210	490	300	46
AT1G22210	0	0	0	4	1	1
AT1G33230	565	582	187	778	322	73
AT1G18050	0	0	0	1	0	0
AT1G79340	2221	2100	624	3094	1318	297
AT1G57680	1520	1543	474	1669	803	178
AT1G29140	0	0	0	0	0	0
AT1G55110	80	87	37	212	124	17
AT1G67775	0	0	0	0	0	0
AT1G57730	0	0	0	0	0	0
AT1G64550	948	856	306	1454	638	166
AT1G68710	877	889	393	890	397	92
AT1G79270	962	1801	535	1519	897	132
AT1G67310	930	958	367	1235	568	118
AT1G65610	778	804	246	1066	454	73
AT1G53880	2	1	0	2	2	0
AT1G64380	25	39	4	15	10	0
AT1G27920	7	6	5	4	1	1
AT1G07220	145	143	53	273	165	44
AT1G14130	251	337	105	1857	1028	259
AT1G55040	117	125	37	148	82	13
AT1G35630	0	0	0	1	0	0
AT1G53860	11	16	7	26	16	2
AT1G71010	2949	3335	1178	3489	1589	295
AT1G56240	1	0	0	90	94	12
AT1G20630	517	357	110	1176	743	207
AT1G54217	48	58	21	75	45	10
AT1G44920	100	77	30	120	35	6
AT1G63970	123	153	41	241	86	23
AT1G26945	44	24	9	63	28	8
AT1G67870	2990	1863	661	1422	1320	103
AT1G62850	94	91	42	161	86	22
AT1G50520	252	251	86	183	109	20
AT1G31500	127	179	45	194	83	24
AT1G15820	591	207	78	271	143	23
AT1G72690	70	104	24	97	58	12
AT1G29030	261	264	91	357	186	43
AT1G75160	16	12	3	20	4	0
AT1G26090	64	81	22	134	55	8
AT1G59660	127	108	41	290	163	25
AT1G52460	0	0	0	0	0	0
AT1G10720	527	566	214	732	329	77
AT1G67670	0	1	0	0	0	0
AT1G11410	22	17	16	189	63	14
AT1G19025	26	50	11	73	45	3
AT1G80050	353	244	94	201	90	23
AT1G50320	210	241	67	285	156	35
AT1G77330	1158	2547	393	335	190	34
AT1G50090	2	4	0	1	0	0
AT1G16650	133	93	48	209	90	23
AT1G50830	1	5	0	2	4	0
AT1G02410	227	218	66	403	197	40
AT1G04420	90	63	20	94	29	6
AT1G05190	284	278	81	169	76	16
AT1G60660	114	134	54	159	59	9
AT1G13950	546	456	144	544	224	39
AT1G23147	0	0	0	0	0	0
AT1G17460	98	131	43	174	74	10
AT1G02110	217	112	38	207	115	19
AT1G32990	123	112	33	97	40	13
AT1G22380	0	0	0	0	1	0
AT1G61300	4	1	1	2	2	0
AT1G15840	2	0	0	0	0	0
AT1G15440	462	430	156	686	369	72
AT1G49650	65	80	21	45	27	2
AT1G18850	177	237	58	278	146	43
AT1G34150	235	215	99	307	141	36
AT1G13320	977	808	289	1296	603	138
AT1G13820	111	100	33	75	43	11
AT1G15880	493	498	167	439	216	50
AT1G80810	148	182	80	315	185	32
AT1G54957	0	0	0	1	2	1
AT1G65310	342	425	128	362	112	6
AT1G20010	1144	730	211	620	246	57
AT1G52570	11	21	6	25	14	2
AT1G33520	757	772	394	899	379	76
AT1G54350	99	87	32	86	52	16
AT1G58160	19	16	6	22	7	3
AT1G30190	0	0	0	7	3	0
AT1G14550	24	30	8	206	177	42
AT1G62450	0	1	0	0	0	0
AT1G16830	40	37	12	57	23	7
AT1G44090	0	0	0	2	1	0
AT1G10880	1	0	0	0	0	0
AT1G64633	0	0	0	0	0	0
AT1G03830	149	154	47	214	119	18
AT1G52530	7	5	3	17	8	1
AT1G63580	49	52	25	24	21	2
AT1G01600	57	58	13	200	100	15
AT1G10210	260	259	82	236	99	23
AT1G62720	10	5	5	8	8	1
AT1G36980	744	746	197	775	317	61
AT1G16705	2	1	1	1	0	0
AT1G74180	125	139	57	102	57	18
AT1G69480	61	74	31	157	75	17
AT1G71520	7	2	1	18	27	5
AT1G34792	0	0	0	0	0	0
AT1G35190	368	385	177	1692	793	267
AT1G07850	1	1	0	2	2	0
AT1G09620	1649	1549	467	1750	944	174
AT1G02570	69	53	13	46	28	6
AT1G26790	1	1	1	0	0	0
AT1G03620	44	24	18	39	18	5
AT1G01350	221	293	88	390	197	37
AT1G65770	0	0	0	0	0	0
AT1G21395	0	0	0	0	0	0
AT1G13810	71	91	20	133	61	11
AT1G14520	26	17	9	60	30	6
AT1G55630	56	76	22	99	51	9
AT1G18390	744	743	287	1012	537	77
AT1G26797	0	0	0	0	0	0
AT1G25480	182	177	74	270	115	20
AT1G28190	136	141	55	618	426	94
AT1G49530	37	28	14	54	17	3
AT1G18486	0	0	0	0	0	0
AT1G12880	38	62	18	88	47	14
AT1G08090	15	8	5	148	51	12
AT1G66460	10	2	1	4	0	2
AT1G24220	0	0	0	0	0	0
AT1G08035	0	0	0	1	1	0
AT1G04985	263	248	85	318	167	34
AT1G73780	3	6	3	14	5	2
AT1G36940	22	8	8	37	9	4
AT1G23850	298	216	88	339	151	34
AT1G66190	122	118	34	185	105	23
AT1G44318	10	7	1	1	1	0
AT1G24270	1	0	0	23	7	3
AT1G05350	429	356	143	605	276	57
AT1G19930	0	0	0	0	0	0
AT1G62520	35	27	9	22	8	6
AT1G23170	158	113	46	157	71	22
AT1G71150	1	0	0	3	0	0
AT1G11430	222	210	65	309	108	32
AT1G17145	316	312	152	440	258	49
AT1G34815	0	0	0	0	0	0
AT1G73910	12	5	2	8	3	0
AT1G52050	768	507	125	29	10	0
AT1G34320	1424	1479	581	1778	816	124
AT1G48280	78	78	19	92	44	13
AT1G12170	0	0	0	0	0	0
AT1G49225	2	0	0	2	0	1
AT1G01715	23	33	9	55	21	6
AT1G29160	158	163	52	363	135	53
AT1G22660	133	121	37	229	82	19
AT1G79410	442	636	158	820	436	105
AT1G75990	347	275	68	417	218	54
AT1G76770	0	1	0	1	1	1
AT1G78800	225	197	74	385	184	37
AT1G57560	70	124	35	100	31	4
AT1G48040	125	125	43	198	91	17
AT1G63400	18	14	14	33	8	2
AT1G32320	0	0	0	0	0	0
AT1G71830	159	159	66	276	121	31
AT1G75800	1904	1618	466	1231	613	126
AT1G22260	8	10	3	20	4	0
AT1G75950	2060	2232	464	3359	1620	388
AT1G43730	0	0	0	0	0	0
AT1G21060	33	20	7	34	17	4
AT1G11330	164	268	71	1095	671	138
AT1G77600	171	172	75	311	152	38
AT1G68790	552	659	251	812	449	75
AT1G22860	339	350	144	509	222	47
AT1G53200	111	132	54	157	75	21
AT1G35250	117	103	44	587	354	52
AT1G60986	0	0	0	1	0	0
AT1G52700	6	8	1	98	20	14
AT1G03980	22	27	15	38	19	3
AT1G19990	59	81	20	104	58	16
AT1G58936	0	0	0	0	0	0
AT1G24320	130	138	55	134	58	14
AT1G62422	242	238	79	622	314	83
AT1G53282	0	0	0	0	0	0
AT1G67890	338	375	136	537	247	39
AT1G62410	0	0	0	0	0	0
AT1G13530	165	148	61	252	135	23
AT1G18260	939	853	291	1124	530	90
AT1G76210	6	18	4	4	1	0
AT1G34430	791	558	188	880	383	68
AT1G14460	212	230	84	316	151	37
AT1G61350	172	208	64	330	176	44
AT1G42440	643	674	232	1074	553	124
AT1G12064	0	0	0	0	0	0
AT1G06570	562	388	123	566	344	77
AT1G55310	1061	963	327	1176	585	101
AT1G63740	263	346	106	325	127	32
AT1G09870	398	417	112	687	309	72
AT1G17710	0	0	0	8	0	0
AT1G27200	204	222	86	1229	559	160
AT1G62120	37	25	11	44	23	8
AT1G04770	316	459	171	1182	408	106
AT1G67920	36	69	31	128	69	16
AT1G09410	16	26	10	35	14	5
